"","COUNTRY","name","diet","period","lived_in","type","length","taxonomy","named_by","species","link","weight","weightkg","num_of_ped","longitude","latitude","ISO","COUNTRYAFF","AFF_ISO","length_in_m","weights_in_kg","carnivorous","herbivorous","Two","Four","time_period","Early Jurassic","Late Triassic","Late Cretaceous","Mid Jurassic","Early Cretaceous","Late Jurassic"
"1","Antarctica","cryolophosaurus","carnivorous","Early Jurassic 170 million years ago","Antarctica","large theropod","8.0m","Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria","Hammer and Hickerson (1994)","elliotti","https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html","350–465 kilograms","407.5 kg","2",-177.564516134088,-77.1698752141584,"AQ","Antarctica","AQ",8,407.5,1,0,1,0,"Early Jurassic",1,0,0,0,0,0
"2","Argentina","eoraptor","carnivorous","Late Triassic 228 million years ago","Argentina","small theropod","1.0m","Dinosauria Saurischia Theropoda","Sereno Forster Rogers and Monetta (1993)","lunensis","https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html","5–10 kilograms","7.5 kg","2",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",1,7.5,1,0,1,0,"Late Triassic",0,1,0,0,0,0
"3","Argentina","herrerasaurus","carnivorous","Late Triassic 228 million years ago","Argentina","small theropod","3.0m","Dinosauria Saurischia Theropoda Herrerasauridae","Reig (1963)","ischigualastensis","https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html","350 kg","350 kg","2",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",3,350,1,0,1,0,"Late Triassic",0,1,0,0,0,0
"4","Argentina","abelisaurus","carnivorous","Late Cretaceous 74-70 million years ago","Argentina","large theropod","9.0m","Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae","Bonaparte and Novas (1985)","comahuensis","https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html","3 tons","3000 kg","2",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",9,3000,1,0,1,0,"Late Cretaceous",0,0,1,0,0,0
"5","Argentina","gasparinisaura","herbivorous","Late Cretaceous 86-71 million years ago","Argentina","euornithopod","0.8m","Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda","Coria and Salgado (1996)","cincosaltensis","https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html","13 kilograms","13 kg","2",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",0.8,13,0,1,1,0,"Late Cretaceous",0,0,1,0,0,0
"6","Argentina","aucasaurus","carnivorous","Late Cretaceous 84-71 million years ago","Argentina","large theropod","5.0m","Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria","Coria Chiappe and Dingus (2002)","garridoi","https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html","700 kg","700 kg","2",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",5,700,1,0,1,0,"Late Cretaceous",0,0,1,0,0,0
"7","Argentina","riojasaurus","herbivorous","Late Triassic 221-210 million years ago","Argentina","sauropod","5.15m","Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae","Bonaparte (1969)","incertus","https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html","800 kilograms","800 kg","4",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",5.15,800,0,1,0,1,"Late Triassic",0,1,0,0,0,0
"8","Argentina","brachytrachelopan","herbivorous","Mid Jurassic 150 million years ago","Argentina","sauropod","10.0m","Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae","Rauhut Remes Fechner Cladera and Puerta (2005)","mesai","https://www.nhm.ac.uk/discover/dino-directory/brachytrachelopan.html","5 metric tons","5000 kg","4",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",10,5000,0,1,0,1,"Mid Jurassic",0,0,0,1,0,0
"9","Argentina","alvarezsaurus","carnivorous","Late Cretaceous 89-85 million years ago","Argentina","small theropod","2.0m","Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae","Bonaparte (1991)","calvoi","https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html","3 kg","3 kg","2",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",2,3,1,0,1,0,"Late Cretaceous",0,0,1,0,0,0
"10","Argentina","ligabuesaurus","herbivorous","Early Cretaceous 121-99 million years ago","Argentina","sauropod","24.0m","Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria","Bonaparte González Riga and Apesteguía (2006)","leanzai","https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html","7 tons","7000 kg","4",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",24,7000,0,1,0,1,"Early Cretaceous",0,0,0,0,1,0
"11","Argentina","neuquenosaurus","herbivorous","Late Cretaceous 71-65 million years ago","Argentina","sauropod","10.0m","Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae","Lydekker (1893)","australis","https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html","1.8–2 metric tons","1900 kg","4",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",10,1900,0,1,0,1,"Late Cretaceous",0,0,1,0,0,0
"12","Argentina","argentinosaurus","herbivorous","Late Cretaceous 90 million years ago","Argentina","sauropod","35.0m","Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria","Bonaparte and Coria (1993)","huinculensis","https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html","60–75 tonnes","67500 kg","4",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",35,67500,0,1,0,1,"Late Cretaceous",0,0,1,0,0,0
"13","Argentina","amygdalodon","herbivorous","Mid Jurassic 177-169 million years ago","Argentina","sauropod","15.0m","Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda","Cabrera (1947)","patagonicus","https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html","5 tonnes","5000 kg","4",-64.5323850384308,-35.6972705181201,"AR","Argentina","AR",15,5000,0,1,0,1,"Mid Jurassic",0,0,0,1,0,0
